date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020-01-03,259.1,261.9,257.77,259.0,34326290
2020-01-06,258.91,258.96,254.8,256.55,28106710
2020-01-08,256.25,257.32,254.77,255.79,25566970
2020-01-09,255.66,256.68,251.82,254.07,33194830
2020-01-10,253.99,254.6,251.2,251.9,28545590
2020-01-13,252.5,252.5,248.4,251.5,41334580
2020-01-14,252.0,253.2,249.0,250.0,32866650
2020-01-15,249.5,252.5,247.75,251.3,43936180
2020-01-16,251.87,254.54,251.5,254.26,38394410
2020-01-17,254.76,256.6,253.8,255.39,42028610
2020-01-20,255.65,256.1,253.01,253.5,29957470
2020-01-21,253.37,253.4,250.88,252.99,26873610
2020-01-22,252.81,253.39,248.1,248.1,38825260
2020-01-23,246.9,247.66,239.01,239.3,73654660
2020-01-24,240.12,243.25,235.28,237.95,68994040
2020-01-27,235.01,235.4,229.65,230.96,104948220
2020-01-28,232.61,237.59,229.0,235.0,85405890
2020-01-29,236.9,237.36,231.3,232.0,52589600
2020-01-30,230.7,232.49,229.45,231.53,41451560
2020-01-31,232.53,233.79,226.57,226.7,70264920
2020-02-03,223.81,229.98,223.8,227.64,53572940
2020-02-04,228.47,231.08,226.65,230.5,45301220
2020-02-05,230.89,235.73,228.8,232.56,61685530
2020-02-06,234.04,236.0,230.15,231.38,42561470
2020-02-07,232.38,233.39,227.14,229.11,49649900
2020-02-10,228.58,229.75,224.41,225.2,50466570
2020-02-11,226.56,236.18,226.01,233.9,95547840
2020-02-12,235.2,239.8,234.56,238.03,83138320
2020-02-13,236.9,237.98,233.55,233.55,41949600
2020-02-14,233.79,235.4,230.91,232.5,34339380
2020-02-17,233.4,234.56,231.91,233.75,20525270
2020-02-18,232.97,233.28,229.8,230.5,30822280
2020-02-19,231.84,233.5,230.71,231.9,24383830
2020-02-20,232.55,235.75,232.0,234.6,33547100
2020-02-21,233.2,233.77,231.61,232.0,29613730
2020-02-25,227.99,230.06,224.68,224.68,51889790
2020-02-26,223.32,225.47,220.81,224.76,63577060
2020-02-27,220.99,223.4,216.8,217.5,82610580
2020-02-28,210.0,211.97,200.57,202.65,168877890
2020-03-02,207.99,211.99,195.51,198.78,151413660
2020-03-03,204.78,205.27,198.0,201.48,104199970
2020-03-04,199.9,204.42,198.28,200.0,78621910
2020-03-05,203.0,203.43,197.5,198.0,65760320
2020-03-06,193.49,194.23,185.13,188.27,131420850
2020-03-10,169.45,185.84,161.01,171.0,203245560
2020-03-11,173.98,175.87,167.39,172.03,108371760
2020-03-12,163.4,167.8,161.2,163.73,150756610
2020-03-13,164.08,175.69,164.02,166.1,142833320
2020-03-16,163.56,169.99,158.17,168.07,115641980
2020-03-17,168.96,175.5,164.56,167.0,108041540
2020-03-18,164.9,170.45,162.0,166.34,105950660
2020-03-19,168.77,175.2,164.05,174.56,121970230
2020-03-20,179.98,184.69,176.1,176.26,139598470
2020-03-23,171.03,172.28,168.04,168.35,108969290
2020-03-24,174.36,179.99,172.61,177.95,89246570
2020-03-25,182.8,186.9,175.26,180.2,114425820
2020-03-26,179.45,184.9,177.28,181.5,53884430
2020-03-27,181.2,181.37,172.0,174.5,55565750
2020-03-30,171.99,177.63,170.5,176.44,47795640
2020-03-31,178.5,184.64,178.01,181.41,69708850
2020-04-01,178.05,181.38,177.5,180.06,40356500
2020-04-02,183.8,190.0,180.25,187.04,87685660
2020-04-03,187.03,193.85,185.72,189.77,92292440
2020-04-06,192.25,193.44,189.44,191.1,62810660
2020-04-07,192.72,195.13,189.8,191.22,66726560
2020-04-08,189.75,194.11,188.1,194.11,49196260
2020-04-09,195.69,196.26,189.88,193.86,84196490
2020-04-10,191.86,192.44,190.51,192.0,16941950
2020-04-13,192.25,192.36,186.07,188.07,28468270
2020-04-14,189.57,191.76,188.3,190.11,50604120
2020-04-15,189.16,189.48,182.56,184.25,53684360
2020-04-16,185.15,189.16,182.75,184.3,56338120
2020-04-17,187.07,187.87,183.54,184.68,38709150
2020-04-20,184.11,186.25,183.0,185.51,34244800
2020-04-21,183.17,184.5,179.05,181.92,66847460
2020-04-22,181.09,188.55,180.33,188.36,48244280
2020-04-23,189.98,191.59,187.5,188.73,39797620
2020-04-24,187.94,187.95,185.1,185.71,36685880
2020-04-27,186.53,188.47,185.69,186.29,23536090
2020-04-28,185.93,190.65,185.76,188.5,44154560
2020-04-29,189.78,195.23,188.53,193.87,56201200
2020-04-30,195.44,196.2,189.62,190.0,72061970
2020-05-04,188.0,188.17,184.52,185.7,42833330
2020-05-05,188.39,190.39,187.3,190.0,39562120
2020-05-06,190.53,191.05,187.05,187.05,46377880
2020-05-07,187.52,190.3,185.5,185.85,67256130
2020-05-08,186.34,186.64,183.1,185.34,60934480
2020-05-12,184.88,187.2,183.2,186.17,49892900
2020-05-13,185.55,185.55,183.8,184.2,33177080
2020-05-14,183.27,184.85,181.68,183.91,49343510
2020-05-15,185.62,186.98,183.85,183.85,47863870
2020-05-18,185.4,192.5,185.14,192.5,60009590
2020-05-19,193.0,194.39,191.1,194.2,60258130
2020-05-20,193.57,197.27,192.79,196.74,73790890
2020-05-21,196.1,199.26,191.4,194.74,90059720
2020-05-22,194.0,195.76,192.21,194.35,42278710
2020-05-25,195.21,197.55,195.11,197.55,20030490
2020-05-26,198.8,202.3,196.3,196.86,65940550
2020-05-27,196.1,197.75,193.15,194.73,55228910
2020-05-28,194.4,196.98,194.17,196.86,39920270
2020-05-29,196.25,199.95,193.2,199.95,172617900
2020-06-01,200.25,202.47,197.15,198.72,54163710
2020-06-02,199.48,202.19,198.72,201.97,45255750
2020-06-03,203.1,208.15,202.01,208.0,65058830
2020-06-04,207.99,207.99,200.6,201.46,72176320
2020-06-05,202.56,204.84,201.51,203.05,44798190
2020-06-08,204.95,206.5,202.97,204.91,40076610
2020-06-09,205.41,206.1,201.57,204.84,35361030
2020-06-10,204.88,205.27,200.53,201.75,41510100
2020-06-11,200.19,200.19,195.15,196.74,48834830
2020-06-15,193.85,196.15,191.0,194.2,54158910
2020-06-16,196.06,199.59,195.2,196.59,43322650
2020-06-17,197.72,199.08,195.21,195.86,34389160
2020-06-18,195.44,195.57,191.85,193.0,45807200
2020-06-19,194.17,196.07,193.82,195.81,45158120
2020-06-22,195.35,195.35,192.62,194.3,36763320
2020-06-23,194.78,196.32,194.0,194.83,33800940
2020-06-25,191.8,192.48,190.55,192.25,48747730
2020-06-26,192.8,195.69,190.51,193.0,60289440
2020-06-29,192.67,198.1,192.58,197.94,45797120
2020-06-30,197.9,198.48,193.24,194.31,52228420
2020-07-02,195.31,195.84,194.4,195.28,34114100
2020-07-03,195.65,197.48,194.77,197.2,26423160
2020-07-06,199.21,201.75,198.53,199.99,46417970
2020-07-07,199.7,199.94,197.75,197.96,35182460
2020-07-08,198.0,201.19,197.55,201.17,30730070
2020-07-09,201.48,202.0,198.4,199.44,40355340
2020-07-10,198.25,201.7,197.22,200.94,39028520
2020-07-13,201.6,202.33,195.5,195.7,62999870
2020-07-14,195.09,196.65,192.48,193.6,83060710
2020-07-15,180.6,184.27,179.8,182.26,73463320
2020-07-16,181.2,183.8,181.07,183.32,29409000
2020-07-17,183.8,184.93,182.87,184.65,25471860
2020-07-20,184.67,188.41,183.88,188.36,30010590
2020-07-21,188.99,189.77,186.25,186.78,44388320
2020-07-22,187.03,188.59,186.07,187.15,22767680
2020-07-23,187.5,188.3,184.4,184.69,29769530
2020-07-24,184.83,186.45,184.12,185.45,30313190
2020-07-27,185.6,185.92,184.2,185.03,22734510
2020-07-28,185.13,185.46,183.6,184.3,26633740
2020-07-29,184.5,185.35,183.42,184.69,27882380
2020-07-30,184.44,184.73,180.91,182.52,34011750
2020-07-31,182.6,184.84,181.61,182.59,44920000
2020-08-03,182.51,184.03,181.72,183.6,28651930
2020-08-04,184.06,184.68,182.17,183.31,32428960
2020-08-05,183.52,189.98,183.35,189.15,75423620
2020-08-06,189.56,189.92,187.13,189.07,42849450
2020-08-07,188.44,188.57,185.81,187.23,28808600
2020-08-10,187.49,188.85,186.83,187.7,24226570
2020-08-11,187.88,192.4,187.88,189.7,51902080
2020-08-12,190.47,193.29,189.32,192.8,35583620
2020-08-13,192.5,194.44,191.25,193.76,37819700
2020-08-14,194.25,194.25,190.71,192.83,29780320
2020-08-17,193.84,194.68,189.2,190.47,55677760
2020-08-18,190.07,191.95,189.25,190.3,27776390
