date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200103,940.6,947.4,938.4,945.8,571782
20200106,945.0,945.6,923.2,929.0,737166
20200108,925.0,931.6,918.0,927.2,674513
20200109,927.0,937.0,927.0,928.2,1025618
20200110,932.0,937.4,928.4,937.4,461332
20200113,942.0,960.2,936.0,960.2,1324147
20200114,960.2,976.2,959.2,967.8,1739800
20200115,967.0,967.6,950.0,960.2,1423308
20200116,962.0,971.0,960.2,963.4,770934
20200117,964.8,978.0,961.0,977.2,1177289
20200120,979.0,1000.0,960.0,990.6,1248372
20200121,990.0,990.0,971.4,978.6,1110776
20200122,978.6,986.2,956.4,959.2,1197304
20200123,954.0,968.4,946.0,962.0,986630
20200124,964.4,973.0,955.8,956.2,534118
20200127,948.2,953.0,925.4,930.0,1292674
20200128,933.8,942.6,923.6,938.6,728600
20200129,945.0,947.6,933.6,941.2,628124
20200130,935.8,942.4,928.4,931.0,724703
20200131,940.0,941.2,911.4,911.4,1809154
20200203,909.6,918.2,904.2,904.2,1984283
20200204,908.2,924.8,908.0,912.4,1381123
20200205,916.0,934.6,912.0,923.4,1165669
20200206,927.2,934.6,918.2,925.0,1017521
20200207,927.0,935.4,920.0,935.4,904976
20200210,934.4,937.0,919.2,922.0,846016
20200211,926.8,932.4,923.0,923.4,955644
20200212,926.0,943.0,920.2,938.0,1336279
20200213,935.0,936.0,926.0,926.0,621619
20200214,929.8,933.2,921.4,928.0,507660
20200217,930.0,933.6,922.2,924.6,514272
20200218,922.8,924.4,913.2,914.6,834090
20200219,917.2,920.4,908.4,914.0,1104028
20200220,914.6,927.6,911.4,915.8,1259609
20200221,912.8,915.0,908.0,908.0,1180596
20200225,899.0,909.6,890.0,890.0,1656071
20200226,888.8,896.8,881.0,886.4,1848279
20200227,883.2,892.0,865.4,865.4,2320032
20200228,848.2,855.6,807.4,814.6,3881413
20200302,832.2,846.8,799.4,810.6,2444357
20200303,830.0,834.8,817.4,820.4,1955684
20200304,818.6,834.6,812.0,827.0,1263704
20200305,836.2,839.8,823.4,830.0,1702691
20200306,819.0,826.2,792.6,808.6,2150230
20200310,772.2,856.6,770.0,829.0,4343401
20200311,844.4,848.8,814.4,824.0,2470344
20200312,804.0,805.0,771.6,776.8,3265617
20200313,775.2,825.0,773.0,809.6,3031011
20200316,820.4,827.2,770.0,818.8,2179882
20200317,814.2,830.6,777.0,800.4,1918609
20200318,780.0,805.0,775.8,780.0,1904615
20200319,780.8,820.0,762.0,812.0,2197928
20200320,824.8,845.8,800.4,812.6,2195085
20200323,790.0,818.0,780.0,793.6,1424507
20200324,814.0,849.8,809.4,843.8,1875146
20200325,851.2,892.0,828.0,853.4,2297785
20200326,849.2,853.0,819.2,848.8,1330661
20200327,841.2,847.6,819.0,825.4,1021225
20200330,813.8,843.6,807.2,843.6,1003313
20200331,848.4,873.0,837.4,866.6,2173260
20200401,851.0,863.2,845.0,848.4,1202476
20200402,855.2,872.0,838.0,859.6,1166362
20200403,859.0,885.0,856.6,882.0,2013651
20200406,887.2,898.0,876.6,892.8,1050311
20200407,899.8,904.0,882.4,888.0,1638442
20200408,884.0,899.2,878.0,899.2,814115
20200409,900.2,905.0,885.2,905.0,1320865
20200410,903.0,903.0,892.8,900.0,307140
20200413,899.0,900.6,881.4,882.2,511902
20200414,890.0,901.4,887.8,899.0,953085
20200415,895.0,896.0,853.4,861.2,1297541
20200416,863.0,882.2,854.0,857.4,1391727
20200417,869.4,877.2,862.2,864.6,601314
20200420,862.2,880.8,858.6,874.2,995440
20200421,871.8,871.8,850.4,866.0,1412422
20200422,865.4,879.0,861.2,868.6,1454204
20200423,873.6,874.6,860.0,870.0,995733
20200424,869.4,870.8,861.0,862.4,998086
20200427,866.8,874.8,863.2,869.0,890310
20200428,869.0,886.0,864.2,870.0,1260038
20200429,875.8,890.8,870.6,875.6,1196939
20200430,880.0,892.4,870.4,889.6,1425158
20200504,881.0,881.2,866.0,871.0,878775
20200505,876.2,880.8,870.4,873.2,540599
20200506,877.2,883.4,870.0,870.6,817592
20200507,872.8,881.6,869.2,869.2,1105964
20200508,872.8,873.8,866.6,871.4,516150
20200512,863.0,867.6,853.4,853.4,1364184
20200513,852.0,853.6,838.0,838.0,989968
20200514,837.8,841.0,818.4,823.4,1567504
20200515,828.6,842.6,824.2,824.2,1153729
20200518,831.6,861.0,831.4,861.0,1124552
20200519,861.4,868.4,855.0,862.4,1003017
20200520,861.2,885.2,855.0,884.4,1121892
