date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020-01-03,192.34,194.72,191.4,194.48,13083900
2020-01-06,194.62,196.2,193.72,195.88,9660400
2020-01-08,195.84,198.5,194.68,198.5,13909600
2020-01-09,198.64,199.06,196.42,198.38,17336500
2020-01-10,198.22,199.06,196.68,198.78,10467900
2020-01-13,199.2,203.8,198.5,203.62,23448200
2020-01-14,204.1,205.46,199.18,200.0,28752500
2020-01-15,200.48,204.58,200.12,203.96,23027500
2020-01-16,205.0,209.0,204.24,209.0,20754400
2020-01-17,208.94,215.38,208.38,215.24,34938200
2020-01-20,217.52,221.0,216.5,218.5,26988300
2020-01-21,217.5,217.68,214.5,214.5,17996200
2020-01-22,216.0,216.86,211.76,213.1,19756600
2020-01-23,213.16,216.22,210.1,211.46,20259000
2020-01-24,212.06,215.52,211.5,211.88,15417100
2020-01-27,209.4,211.68,208.2,211.0,22057000
2020-01-28,211.32,214.16,210.04,212.82,19685700
2020-01-29,213.64,214.68,212.0,212.3,19028000
2020-01-30,211.32,212.4,208.7,208.8,16561300
2020-01-31,210.82,211.86,205.84,208.0,19491500
2020-02-03,207.18,207.78,203.66,204.1,22495300
2020-02-04,205.4,211.24,205.4,208.98,39815400
2020-02-05,210.6,214.0,208.7,213.16,30260100
2020-02-06,215.14,216.66,212.3,212.4,21132000
2020-02-07,211.5,213.62,210.54,212.0,19692500
2020-02-10,213.16,214.56,211.62,214.42,18211100
2020-02-11,215.58,219.42,214.8,219.1,18643800
2020-02-12,219.52,219.94,217.54,219.66,16129700
2020-02-13,219.26,220.0,214.7,215.1,23478400
2020-02-14,215.52,216.28,212.04,215.3,15093700
2020-02-17,216.0,218.18,215.62,217.9,9607200
2020-02-18,217.8,219.46,217.02,218.18,14375400
2020-02-19,221.32,226.98,221.3,225.2,31063800
2020-02-20,225.6,226.22,221.8,223.42,23496700
2020-02-21,222.0,224.34,221.84,222.2,11926400
2020-02-25,217.12,220.88,215.5,215.54,27441500
2020-02-26,215.02,222.0,213.22,218.26,39421500
2020-02-27,217.0,220.28,211.6,212.38,34365400
2020-02-28,207.08,211.18,199.6,202.5,63930400
2020-03-02,206.48,209.94,196.6,201.6,52558100
2020-03-03,205.62,209.4,203.0,207.14,36301700
2020-03-04,206.54,208.98,205.02,207.56,24239300
2020-03-05,208.8,209.98,205.24,207.8,25719700
2020-03-06,204.76,218.86,197.14,217.62,81187500
2020-03-10,210.98,236.56,205.0,212.3,89653900
2020-03-11,217.1,224.74,200.66,202.38,59668600
2020-03-12,197.7,200.0,177.76,185.0,84937600
2020-03-13,181.92,195.88,176.52,180.38,77571100
2020-03-16,182.18,182.18,160.14,170.9,70369400
2020-03-17,168.54,174.18,162.24,171.8,61553200
2020-03-18,168.7,169.16,155.0,155.0,58929300
2020-03-19,156.04,162.98,142.0,162.52,78710400
2020-03-20,168.36,177.32,163.12,163.58,71475300
2020-03-23,157.5,165.8,152.78,162.4,45003600
2020-03-24,171.02,199.84,171.0,190.28,122094400
2020-03-25,196.28,203.5,185.22,199.3,86421100
2020-03-26,202.4,202.54,190.0,201.0,49496900
2020-03-27,200.9,202.74,190.2,193.06,45836900
2020-03-30,190.88,195.2,187.96,194.62,28639200
2020-03-31,197.88,199.0,191.62,195.18,42984800
2020-04-01,191.24,192.44,188.3,189.52,27272100
2020-04-02,194.2,194.92,185.66,189.98,46488100
2020-04-03,189.0,192.6,187.56,190.32,24643600
2020-04-06,192.08,195.9,190.8,195.9,24787500
2020-04-07,198.3,201.32,196.16,197.8,37787000
2020-04-08,196.0,201.64,195.04,201.64,29948500
2020-04-09,203.52,212.54,202.84,211.38,35335100
2020-04-10,209.98,209.98,205.3,206.5,13646900
2020-04-13,206.6,208.98,199.8,201.0,18849800
2020-04-14,203.16,208.72,202.46,207.02,26163700
2020-04-15,206.0,207.32,193.8,196.46,34186800
2020-04-16,198.0,200.34,193.0,195.2,34808400
2020-04-17,199.02,199.36,196.06,197.18,19900300
2020-04-20,197.4,201.12,196.08,200.36,15121900
2020-04-21,197.4,199.24,185.2,192.4,42621700
2020-04-22,189.96,197.9,189.38,196.14,31169900
2020-04-23,198.0,204.86,195.16,202.16,31638200
2020-04-24,200.8,205.2,198.7,201.5,27210500
2020-04-27,202.82,204.7,199.12,200.34,19257500
2020-04-28,200.64,203.3,198.74,200.54,25904900
2020-04-29,201.52,208.48,200.3,205.96,23446800
2020-04-30,207.24,208.76,203.06,204.78,22750900
2020-05-04,202.44,202.92,198.66,201.26,19236200
2020-05-05,203.02,204.52,199.58,200.34,14515600
2020-05-06,201.28,203.34,199.2,199.4,20688900
2020-05-07,199.86,203.24,199.62,202.24,25183200
2020-05-08,203.2,203.7,201.3,201.44,12843500
2020-05-12,203.58,211.26,202.76,210.16,41460200
2020-05-13,209.12,209.74,206.5,207.62,22841500
2020-05-14,206.8,208.62,200.0,201.04,28575500
2020-05-15,203.4,207.54,202.06,202.06,23857300
2020-05-18,206.24,215.0,205.5,214.74,35217200
2020-05-19,215.52,219.7,213.6,219.2,34889800
2020-05-20,219.22,231.58,218.02,229.52,41932000
2020-05-21,229.52,231.5,224.52,225.36,37313000
2020-05-22,217.88,223.88,215.24,220.02,34274800
2020-05-25,220.0,224.18,217.86,223.94,18680200
2020-05-26,226.2,228.4,220.34,221.18,22472600
2020-05-27,220.78,226.8,217.24,221.1,31357800
2020-05-28,222.52,226.14,221.88,225.44,24341000
2020-05-29,224.76,224.78,220.12,221.1,33305700
2020-06-01,223.78,224.12,218.26,220.26,23475600
2020-06-02,221.2,223.6,219.12,222.2,29298500
2020-06-03,223.66,223.94,217.0,218.24,37657700
2020-06-04,215.66,216.14,197.38,200.0,170324000
2020-06-05,201.1,208.16,199.5,204.0,120368600
2020-06-08,205.1,208.44,201.5,205.02,49783800
2020-06-09,205.3,206.42,201.02,202.48,28372000
2020-06-10,203.2,203.6,198.7,202.4,41642700
2020-06-11,199.48,200.0,191.34,194.82,81603100
2020-06-15,191.88,191.88,187.12,190.58,46653600
2020-06-16,193.7,199.12,193.0,194.72,44310800
2020-06-17,195.16,196.32,191.74,192.56,28568000
2020-06-18,192.56,192.56,187.8,189.26,37090600
2020-06-19,190.36,194.14,189.2,190.04,39289600
2020-06-22,189.8,191.5,186.44,191.22,24504000
2020-06-23,190.16,197.5,190.16,196.36,36817600
2020-06-25,194.02,198.92,192.34,198.5,35048000
2020-06-26,198.98,201.42,195.46,196.78,27199500
2020-06-29,195.98,195.98,189.86,191.96,45010300
2020-06-30,191.94,192.38,186.5,187.84,45450700
2020-07-02,187.26,188.98,185.3,187.54,36874600
2020-07-03,187.5,191.18,187.26,190.0,23843000
2020-07-06,192.04,193.78,178.96,182.6,87204400
2020-07-07,179.5,187.1,179.26,185.74,52545500
2020-07-08,186.22,190.36,185.7,189.7,35082900
2020-07-09,190.04,190.78,184.22,185.96,41726600
2020-07-10,184.72,187.12,184.02,185.5,23408600
2020-07-13,184.46,185.22,179.02,179.46,50666300
2020-07-14,178.74,178.9,173.5,178.26,54388600
2020-07-15,178.62,181.94,176.92,179.78,34403800
2020-07-16,178.38,182.22,177.28,181.12,25486500
2020-07-17,181.02,183.78,181.02,183.5,19600600
2020-07-20,183.44,184.64,181.42,183.94,22788900
2020-07-21,184.3,186.86,183.2,183.8,35814900
2020-07-22,184.0,184.0,180.78,182.34,28352800
2020-07-23,182.96,189.78,182.36,187.24,46892600
2020-07-24,187.08,190.94,184.88,190.6,36050000
2020-07-27,191.94,197.96,191.28,197.9,42039600
2020-07-28,198.04,198.26,195.1,196.18,25379000
2020-07-29,196.1,199.32,194.02,198.08,31090000
2020-07-30,197.04,198.08,195.1,196.2,26107600
2020-07-31,196.88,199.24,195.3,196.5,20207900
2020-08-03,196.3,201.28,194.56,200.18,28395800
