date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200103,6203.5,6294.0,6185.0,6294.0,791658
20200106,6300.0,6382.0,6284.5,6382.0,751576
20200108,6401.0,6513.0,6350.5,6496.5,974042
20200109,6450.0,6523.5,6393.5,6430.0,876659
20200110,6432.5,6505.0,6395.0,6490.0,497687
20200113,6495.0,6541.5,6465.0,6530.0,577701
20200114,6544.5,6566.5,6459.5,6520.5,718439
20200115,6515.5,6574.0,6480.0,6552.5,1053251
20200116,6558.0,6596.0,6542.0,6590.0,1019894
20200117,6589.5,6714.5,6581.0,6685.0,1209611
20200120,6700.0,6770.0,6684.5,6717.0,446394
20200121,6689.0,6716.0,6611.0,6708.5,548342
20200122,6713.5,6810.0,6655.5,6655.5,867837
20200123,6619.5,6633.5,6536.5,6590.0,1217162
20200124,6608.0,6650.0,6592.5,6620.0,506775
20200127,6549.5,6569.5,6413.0,6545.0,1073913
20200128,6568.0,6657.0,6503.5,6650.0,769434
20200129,6691.0,6726.0,6601.5,6633.0,944493
20200130,6498.5,6535.0,6415.0,6443.5,1580771
20200131,6635.0,6670.0,6540.5,6550.5,1742128
20200203,6519.5,6600.0,6517.0,6594.5,2671005
20200204,6602.0,6633.0,6490.0,6500.0,1670313
20200205,6514.0,6595.0,6452.0,6550.5,1105040
20200206,6584.5,6605.0,6501.0,6506.5,685669
20200207,6510.0,6529.0,6405.0,6450.5,938705
20200210,6450.5,6451.5,6350.0,6410.0,946881
20200211,6420.0,6441.5,6324.5,6397.5,1291961
20200212,6397.0,6466.0,6384.5,6466.0,948883
20200213,6455.0,6500.0,6388.0,6470.5,711876
20200214,6486.0,6498.0,6410.0,6451.0,484387
20200217,6439.0,6483.5,6431.0,6463.0,350221
20200218,6441.0,6442.0,6350.5,6378.5,713980
20200219,6407.5,6516.0,6405.0,6509.0,636605
20200220,6522.0,6560.0,6492.5,6543.5,741043
20200221,6519.0,6527.5,6450.0,6450.0,612319
20200225,6301.0,6348.0,6150.5,6165.0,1427706
20200226,6149.0,6268.0,6105.5,6256.5,1645203
20200227,6140.0,6186.0,6000.0,6000.0,1505993
20200228,5836.0,5870.0,5607.0,5699.5,3124084
20200302,5816.0,5897.5,5540.0,5550.0,2905999
20200303,5700.0,5900.0,5661.0,5782.0,1946861
20200304,5740.5,5928.5,5701.5,5908.5,1601548
20200305,5978.0,5996.0,5830.0,5862.5,1532273
20200306,5742.5,5775.0,5534.5,5592.0,2266208
20200310,5033.0,5083.0,4450.0,4549.0,7510762
20200311,4652.0,4988.0,4520.0,4908.0,4810789
20200312,4652.5,4745.5,4487.5,4511.5,3677398
20200313,4505.0,4760.0,4414.0,4414.0,3663056
20200316,4414.0,4414.0,4102.0,4251.0,2570452
20200317,4212.0,4326.5,4030.0,4168.5,2244460
20200318,4060.0,4145.0,3744.0,3754.0,3644119
20200319,3834.0,4484.5,3663.0,4333.0,4772557
20200320,4503.0,4745.0,4408.0,4472.5,5008988
20200323,4252.5,4409.0,4122.0,4175.5,3405101
20200324,4484.0,4550.0,4362.5,4494.0,2397960
20200325,4596.0,4725.0,4400.0,4590.0,2898620
20200326,4552.0,4700.0,4484.5,4700.0,1998767
20200327,4699.0,4745.0,4401.5,4430.0,2092818
20200330,4355.5,4459.0,4313.0,4459.0,1720742
20200331,4549.0,4715.0,4501.0,4715.0,2428925
20200401,4595.0,4734.5,4564.0,4674.5,1917101
20200402,4870.0,5229.5,4787.5,5050.0,3850927
20200403,5047.5,5364.0,4927.0,5204.5,3126770
20200406,5215.0,5270.0,5064.0,5163.0,2279444
20200407,5260.0,5260.0,5052.5,5118.0,1835405
20200408,5063.5,5175.0,5036.5,5140.0,1924196
20200409,5197.5,5275.0,5052.0,5201.0,2291202
20200410,5120.0,5139.5,5064.0,5130.0,709604
20200413,5117.5,5125.0,4933.0,5040.0,939770
20200414,5087.5,5119.5,4825.0,4844.0,2048920
20200415,4799.0,4799.0,4453.0,4484.0,2648878
20200416,4502.0,4631.0,4365.0,4561.5,3413601
20200417,4696.5,4697.0,4545.0,4620.0,1676884
20200420,4559.5,4637.0,4455.0,4522.5,1899435
20200421,4402.0,4533.5,4281.0,4475.0,3797054
20200422,4420.0,4810.5,4385.5,4810.5,3438361
20200423,4895.0,4979.5,4730.0,4902.5,2558736
20200424,4875.0,4876.0,4720.0,4745.5,1841886
20200427,4745.0,4790.0,4620.0,4650.0,1682738
20200428,4624.0,4808.0,4621.0,4738.5,2735193
20200429,4779.0,4940.0,4750.0,4897.0,2888095
20200430,4941.0,5040.0,4816.5,4826.5,3030267
20200504,4787.0,4909.5,4751.5,4848.5,1257504
20200505,4950.0,4985.0,4880.0,4975.0,1426167
20200506,5000.0,5014.5,4825.0,4857.5,1864425
20200507,4864.5,4950.0,4825.0,4839.0,1713193
20200508,4864.0,4879.0,4733.0,4832.0,1617310
20200512,4845.0,4928.0,4824.0,4897.5,1305808
20200513,4879.5,4896.0,4815.5,4819.0,1150878
20200514,4799.0,4870.0,4773.0,4870.0,1470850
20200515,4933.0,4968.0,4874.5,4874.5,1653522
20200518,4972.5,5191.5,4935.0,5170.5,2510468
20200519,5194.0,5285.0,5178.5,5272.0,2104319
20200520,5275.0,5471.0,5238.0,5450.0,2240019
20200521,5459.0,5548.0,5227.0,5286.0,2657882
20200522,5195.0,5348.0,5166.0,5317.0,1586956
20200525,5346.5,5420.0,5344.0,5412.5,615868
20200526,5489.5,5539.5,5435.0,5445.0,1602232
20200527,5423.5,5515.5,5285.0,5352.5,1737876
20200528,5354.5,5484.5,5309.0,5392.0,1390600
20200529,5379.0,5379.0,5224.0,5242.5,2451505
20200601,5347.5,5412.5,5269.0,5318.0,1307649
20200602,5357.0,5433.0,5340.0,5400.0,1355948
20200603,5451.0,5566.5,5424.0,5549.5,2082046
20200604,5533.5,5553.0,5430.0,5430.0,1479541
20200605,5476.0,5511.5,5434.0,5460.0,1215118
20200608,5489.5,5527.5,5351.0,5372.0,1549579
20200609,5401.0,5428.5,5305.5,5425.0,1388256
20200610,5410.0,5432.0,5314.0,5342.0,1520574
20200611,5305.0,5355.5,5269.0,5350.0,1426935
20200615,5224.5,5278.0,5120.0,5264.0,1747549
20200616,5327.0,5474.5,5310.0,5392.0,1600765
20200617,5418.0,5441.5,5301.0,5343.0,1356115
20200618,5325.0,5376.0,5290.0,5347.0,1228059
20200619,5411.0,5490.0,5389.0,5460.0,1871263
20200622,5440.0,5504.5,5392.0,5469.0,953142
20200623,5480.0,5507.0,5437.5,5452.0,954915
20200625,5325.0,5402.0,5310.5,5394.0,1546047
20200626,5388.0,5407.0,5303.0,5321.5,766738
20200629,5305.5,5327.0,5266.5,5315.0,976164
20200630,5313.0,5355.0,5279.5,5313.0,917857
20200702,5338.0,5422.0,5322.5,5416.0,1035220
20200703,5415.5,5431.0,5375.5,5416.5,481183
20200706,5452.0,5512.0,5450.0,5483.5,1123512
20200707,5474.5,5492.5,5429.5,5464.0,1012590
20200708,5465.0,5479.0,5405.0,5457.0,1424620
20200709,5158.0,5175.0,5061.0,5087.0,1685549
20200710,5050.0,5103.0,5026.5,5098.0,1014037
20200713,5116.0,5133.5,4909.0,4926.5,1215316
20200714,4933.0,4933.0,4784.0,4884.0,2043410
20200715,4901.5,4997.0,4865.0,4949.5,2057627
20200716,4929.0,4974.0,4895.0,4944.5,794217
20200717,4953.5,4972.0,4911.0,4946.5,557971
20200720,4944.0,4970.0,4910.0,4937.0,851859
20200721,4955.0,5005.0,4932.5,4953.0,1542865
20200722,4964.5,5063.0,4953.0,5037.0,1301159
20200723,5060.5,5089.5,4963.5,4974.0,1035929
20200724,4967.5,5010.0,4941.5,4987.0,1136023
20200727,4993.0,5039.0,4978.0,5013.5,961400
20200728,5019.5,5050.0,4976.5,5023.0,1101310
20200729,5033.5,5193.0,5022.0,5184.5,1821088
20200730,5170.0,5178.0,5055.0,5115.0,1136047
20200731,5114.0,5130.0,5051.0,5087.5,862462
20200803,5072.0,5087.0,5028.0,5037.0,826984
20200804,5056.0,5060.0,5002.0,5038.5,780821
20200805,5051.5,5155.0,5042.0,5136.0,1198674
20200806,5150.5,5174.0,5091.0,5130.0,880905
20200807,5112.5,5125.5,5066.0,5088.0,555122
20200810,5100.0,5153.0,5090.0,5112.0,649192
20200811,5118.5,5210.0,5113.0,5170.0,1301940
20200812,5190.0,5303.5,5188.0,5303.0,1084694
20200813,5300.0,5387.0,5252.5,5312.0,1020623
20200814,5323.0,5324.0,5234.5,5284.5,715918
20200817,5303.0,5321.5,5235.0,5281.5,677375
20200818,5264.5,5296.0,5231.0,5268.5,706037
20200819,5264.5,5313.0,5233.0,5246.5,629584
20200820,5228.5,5231.0,5088.0,5137.5,1219776
20200821,5150.5,5158.0,5027.0,5092.5,1040043
20200824,5110.5,5198.0,5103.5,5186.0,880068
20200825,5199.0,5228.0,5145.0,5220.0,971273
20200826,5231.5,5288.0,5197.0,5278.0,795039
20200827,5286.0,5292.5,5154.0,5174.0,1030110
20200828,5170.0,5178.5,5056.5,5082.0,776902
20200831,5096.0,5128.5,4960.0,4991.0,1416679
20200901,5009.5,5016.0,4917.0,4949.0,1286553
20200902,4953.0,4978.5,4828.5,4852.0,1545721
20200903,4839.5,4898.0,4795.5,4814.0,1513466
20200904,4802.0,4888.0,4802.0,4858.0,963821
20200907,4829.5,4850.0,4790.0,4795.0,646340
20200908,4800.0,4822.0,4684.5,4719.5,1301443
20200909,4704.0,4758.5,4664.0,4709.0,1081515
20200910,4716.5,4736.0,4631.5,4661.0,1072340
20200911,4668.0,4749.0,4645.5,4725.5,822325
20200914,4746.5,4804.5,4733.0,4752.5,945651
20200915,4754.0,4884.0,4735.0,4876.0,1498917
20200916,4893.5,4929.5,4821.5,4863.5,1351352
20200917,4814.5,4821.0,4750.5,4793.5,1535383
20200918,4805.0,4815.5,4655.0,4677.0,2914282
20200921,4664.5,4665.0,4462.0,4511.0,2314250
20200922,4504.0,4560.0,4458.0,4529.0,1448653
20200923,4526.0,4542.0,4443.5,4456.0,1339302
20200924,4457.5,4584.5,4410.0,4563.0,1619164
20200925,4578.5,4600.5,4478.0,4560.0,1163134
20200928,4574.5,4634.5,4552.0,4627.0,1051405
20200929,4627.0,4644.5,4484.0,4508.5,1595944
20200930,4487.0,4520.5,4457.0,4470.0,1017690
20201001,4489.0,4506.5,4390.5,4408.5,1024102
20201002,4376.0,4382.5,4313.0,4379.0,1216751
20201005,4405.5,4487.0,4363.5,4479.0,1227120
20201006,4492.5,4563.5,4486.5,4519.5,1155256
20201007,4507.5,4527.0,4398.5,4474.0,1167347
20201008,4482.0,4503.0,4431.0,4498.0,948365
20201009,4510.0,4510.5,4411.0,4451.5,853029
