date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020-01-03,6.8,6.85,6.8,6.8,1600
2020-01-06,6.7,6.8,6.6,6.7,14600
2020-01-08,6.65,6.7,6.45,6.65,11300
2020-01-09,6.6,6.6,6.3,6.55,12900
2020-01-10,6.55,6.65,6.55,6.65,1100
2020-01-13,6.65,6.75,6.65,6.75,18900
2020-01-14,6.75,6.75,6.7,6.7,3100
2020-01-15,6.8,7.35,6.55,6.85,46600
2020-01-16,7.05,7.1,6.9,6.9,5100
2020-01-17,6.85,6.9,6.55,6.85,49300
2020-01-20,6.95,7.0,6.75,7.0,9200
2020-01-21,6.95,7.0,6.85,6.85,6600
2020-01-22,7.05,7.05,6.8,6.8,7700
2020-01-23,6.8,7.0,6.8,6.85,7600
2020-01-24,6.65,7.0,6.65,6.85,11200
2020-01-27,6.6,6.85,6.55,6.85,10300
2020-01-28,6.85,6.85,6.75,6.75,300
2020-01-29,6.85,6.95,6.8,6.8,1700
2020-01-30,6.8,6.9,6.75,6.9,1400
2020-01-31,6.9,6.95,6.85,6.85,1000
2020-02-03,6.8,6.9,6.75,6.75,2100
2020-02-04,6.7,6.9,6.7,6.8,3500
2020-02-05,6.75,6.9,6.75,6.9,4600
2020-02-06,6.9,6.95,6.9,6.9,18500
2020-02-07,7.05,7.05,6.75,6.9,18900
2020-02-10,7.05,7.05,6.75,6.8,4900
2020-02-11,6.85,9.5,6.85,9.5,805500
2020-02-12,10.2,12.0,8.55,8.85,618400
2020-02-13,8.95,10.85,8.6,9.2,241600
2020-02-14,9.05,10.85,8.65,8.9,370800
2020-02-17,8.95,9.1,8.2,8.45,137300
2020-02-18,8.45,8.5,8.0,8.2,32900
2020-02-19,8.05,8.5,8.05,8.35,40800
2020-02-20,8.45,11.65,8.45,10.5,3127000
2020-02-21,10.35,10.35,8.4,8.9,786600
2020-02-25,8.8,8.8,8.25,8.5,105600
2020-02-26,8.5,8.5,7.85,8.2,102200
2020-02-27,8.15,9.8,8.15,8.2,723600
2020-02-28,8.35,9.25,8.2,8.6,321800
2020-03-02,8.5,8.85,8.2,8.55,61600
2020-03-03,8.65,8.65,8.35,8.4,64400
2020-03-04,8.4,8.55,8.2,8.55,65000
2020-03-05,8.55,8.6,8.4,8.5,30800
2020-03-06,8.4,8.5,8.3,8.5,21600
2020-03-10,8.05,8.6,7.05,8.05,22100
2020-03-11,8.2,8.55,8.1,8.4,9200
2020-03-12,8.15,8.7,7.55,8.1,28100
2020-03-13,8.0,8.15,7.85,8.05,7400
2020-03-16,7.65,8.2,6.4,7.9,40600
2020-03-17,7.8,7.85,7.5,7.7,5000
2020-03-18,7.15,7.25,6.8,7.15,33400
2020-03-19,7.1,7.15,7.0,7.15,6700
2020-03-20,7.15,7.85,7.15,7.55,5300
2020-03-23,7.65,7.7,7.1,7.6,3900
2020-03-24,6.65,7.8,6.6,7.4,17600
2020-03-25,7.6,7.6,7.0,7.15,3300
2020-03-26,7.35,7.35,7.35,7.35,3900
2020-03-27,7.35,7.35,7.0,7.0,1900
2020-03-30,7.05,7.7,7.0,7.4,11900
2020-03-31,7.5,7.6,7.05,7.35,23600
2020-04-01,7.4,7.5,7.05,7.3,32100
2020-04-02,7.1,7.45,7.05,7.3,20400
2020-04-03,7.15,7.45,7.05,7.35,37000
2020-04-06,7.35,7.95,7.3,7.75,65400
2020-04-07,7.7,7.85,7.5,7.7,54500
2020-04-08,7.75,7.75,7.2,7.4,20700
2020-04-09,7.45,7.55,7.35,7.45,25300
2020-04-10,7.35,8.1,7.35,7.85,62400
2020-04-13,7.85,7.85,7.6,7.65,11200
2020-04-14,7.6,7.8,7.55,7.65,10500
2020-04-15,7.6,7.6,7.15,7.4,26100
2020-04-16,7.15,7.5,7.15,7.45,14600
2020-04-17,7.15,7.4,7.15,7.35,12100
2020-04-20,7.5,7.5,7.25,7.35,3800
2020-04-21,7.25,7.35,7.1,7.25,4900
2020-04-22,7.3,7.4,7.2,7.35,4100
2020-04-23,7.4,7.4,7.4,7.4,200
2020-04-24,7.4,7.4,7.2,7.3,1500
2020-04-27,7.1,9.85,7.0,8.4,1322500
