date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200103,3440.0,3460.0,3431.0,3445.5,291955
20200106,3446.0,3455.5,3407.0,3416.0,290909
20200108,3416.0,3432.0,3381.0,3427.0,388549
20200109,3312.0,3368.5,3300.5,3348.0,492797
20200110,3350.0,3379.0,3312.0,3319.5,376849
20200113,3330.0,3347.5,3306.5,3345.0,222572
20200114,3347.5,3370.5,3325.5,3339.0,362009
20200115,3342.0,3463.0,3334.5,3440.0,1536221
20200116,3463.5,3629.5,3460.0,3625.0,1630349
20200117,3661.5,3700.0,3590.5,3623.0,1422107
20200120,3640.0,3889.5,3638.0,3855.0,1596925
20200121,3840.5,3885.0,3714.5,3840.0,1137798
20200122,3860.0,3939.0,3750.0,3750.0,1202119
20200123,3724.0,3750.0,3632.0,3702.5,890575
20200124,3731.0,3815.0,3706.5,3796.0,1028616
20200127,3752.0,3763.0,3683.0,3708.5,585063
20200128,3719.0,3812.0,3708.0,3751.0,597899
20200129,3759.0,3870.0,3731.0,3819.5,717748
20200130,3796.0,3874.0,3775.5,3830.0,617826
20200131,3851.5,3870.0,3727.0,3727.0,682379
20200203,3699.0,3761.0,3668.0,3720.5,559676
20200204,3742.0,3797.0,3725.0,3750.0,453596
20200205,3759.5,3805.5,3700.0,3783.5,1004108
20200206,3814.5,3839.0,3655.0,3713.0,1505151
20200207,3715.5,3727.0,3625.5,3640.0,652734
20200210,3639.0,3657.5,3507.0,3564.5,779546
20200211,3571.0,3597.0,3512.0,3575.0,594896
20200212,3570.0,3760.0,3563.0,3760.0,1114425
20200213,3750.0,3806.5,3712.5,3750.0,851663
20200214,3762.0,3768.5,3661.0,3669.0,480070
20200217,3685.0,3718.0,3651.5,3697.0,452693
20200218,3688.5,3688.5,3605.0,3620.0,460542
20200219,3631.0,3668.0,3557.5,3640.5,547359
20200220,3651.0,3670.0,3617.0,3641.0,269194
20200221,3623.0,3651.5,3591.0,3625.0,312226
20200225,3556.0,3598.5,3500.0,3503.0,433180
20200226,3488.0,3529.0,3390.5,3529.0,667542
20200227,3482.0,3484.5,3320.0,3345.0,600611
20200228,3236.0,3269.0,3054.0,3160.5,1459642
20200302,3213.5,3271.5,3066.0,3201.0,749046
20200303,3266.0,3288.0,3131.0,3150.0,807292
20200304,3123.0,3182.0,3102.0,3130.0,532562
20200305,3161.0,3169.0,3081.0,3121.0,521348
20200306,3072.5,3093.5,2950.0,2984.0,862991
20200310,2688.0,2820.0,2507.0,2669.5,2125922
20200311,2689.0,2777.0,2630.0,2705.0,1264374
20200312,2625.0,2625.0,2313.0,2337.0,1842348
20200313,2327.0,2545.0,2289.0,2501.0,2036854
20200316,2501.0,2650.0,2378.0,2636.0,1400055
20200317,2589.5,2782.0,2583.5,2765.5,1387212
20200318,2726.0,2890.0,2713.0,2780.0,1841047
20200319,2779.5,2969.0,2771.0,2950.0,1233763
20200320,2989.0,3075.0,2980.0,3002.5,1329099
20200323,2949.0,3050.0,2830.0,2986.0,1068377
20200324,3040.0,3095.0,3009.5,3020.0,733127
20200325,3050.5,3134.0,2950.0,3070.0,1017518
20200326,3069.5,3251.0,3003.0,3249.5,776449
20200327,3254.0,3272.0,3063.5,3140.0,640870
20200330,3100.5,3159.0,3045.0,3128.5,386716
20200331,3149.0,3241.5,3065.0,3202.5,468120
20200401,3158.0,3189.5,3116.5,3140.0,401981
20200402,3171.5,3200.0,3115.0,3190.0,603133
20200403,3178.0,3275.0,3158.0,3189.0,631941
20200406,3207.0,3262.0,3191.0,3262.0,428077
20200407,3284.5,3354.0,3254.0,3255.0,634958
20200408,3231.5,3377.0,3204.0,3372.5,638994
20200409,3387.0,3418.5,3287.5,3318.0,664627
20200410,3318.0,3326.5,3275.5,3321.5,198605
20200413,3315.5,3383.5,3260.0,3286.0,303435
20200414,3318.0,3385.0,3308.0,3362.0,477174
20200415,3365.0,3365.5,3215.0,3244.5,489492
20200416,3249.0,3290.0,3180.0,3196.5,423817
20200417,3253.0,3263.5,3200.0,3236.0,290157
20200420,3232.0,3254.0,3159.5,3165.0,272556
20200421,3129.0,3155.0,3032.0,3142.5,448016
20200422,3140.0,3263.0,3120.0,3205.0,412431
20200423,3236.0,3320.5,3187.5,3287.0,370461
20200424,3298.5,3298.5,3215.5,3215.5,314692
20200427,3233.0,3356.0,3229.0,3356.0,512104
20200428,3348.5,3502.5,3336.0,3380.0,760416
