date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200103,453.75,458.65,453.35,456.9,4364310
20200106,458.8,460.4,453.4,455.6,6817630
20200108,456.0,462.7,451.45,452.0,9228840
20200109,452.4,460.95,450.7,460.2,4979740
20200110,459.9,475.65,456.85,473.5,6694220
20200113,474.45,482.25,472.15,481.15,4807490
20200114,481.2,486.45,472.7,475.5,6552170
20200115,474.65,482.1,469.95,474.5,4594560
20200116,477.95,481.5,476.7,480.95,4122720
20200117,482.45,487.2,481.25,485.15,4462140
20200120,488.0,489.9,484.65,484.85,3123590
20200121,482.55,486.85,479.0,486.15,2917150
20200122,486.25,488.55,476.05,478.15,11723480
20200123,475.05,479.7,470.6,473.1,4178020
20200124,475.1,478.4,473.5,474.0,3296670
20200127,469.1,473.8,465.8,468.3,5666060
20200128,472.0,477.7,468.2,477.7,5878730
20200129,480.05,482.0,475.6,481.7,6303100
20200130,480.55,483.3,477.8,481.2,14579330
20200131,483.6,486.0,478.75,480.5,8590650
20200203,478.6,481.45,476.6,479.95,4669800
20200204,481.35,483.0,478.35,480.0,8779820
20200205,481.0,481.5,474.4,477.0,5656150
20200206,478.55,480.5,471.0,475.6,4753390
20200207,475.5,476.75,450.55,463.6,16661800
20200210,463.65,463.85,447.8,450.0,8838180
20200211,454.7,456.7,448.25,454.3,7800690
20200212,456.45,465.8,455.5,465.8,7398340
20200213,463.8,465.5,458.55,463.0,5194490
20200214,462.6,464.4,456.25,460.5,4927690
20200217,460.9,464.7,459.7,464.7,2861190
20200218,462.5,466.0,440.7,452.2,12451240
20200219,455.4,469.0,455.4,465.65,10639740
20200220,468.2,476.95,465.6,470.4,9020310
20200221,468.5,469.0,461.65,461.75,6003350
20200225,455.15,458.75,442.7,443.85,7315110
20200226,441.7,444.6,431.5,443.7,9685810
20200227,436.9,440.0,420.95,422.05,9692300
20200228,416.1,417.0,398.15,403.4,18857900
20200302,410.95,415.4,389.5,394.5,11836540
20200303,406.05,411.95,400.5,406.0,11093190
20200304,402.95,416.55,399.2,415.95,9077990
20200305,417.8,420.0,408.5,410.6,8604330
20200306,405.95,406.95,391.05,392.95,12738960
20200310,353.7,357.4,320.0,326.5,38145830
20200311,332.7,334.4,310.95,314.05,20713740
20200312,300.0,305.0,270.8,277.5,29181800
20200313,262.0,288.65,261.4,266.25,44524210
20200316,266.25,280.0,251.0,258.5,30921610
20200317,260.65,268.0,246.25,249.15,19681860
20200318,244.0,244.75,229.8,234.0,19290210
20200319,237.05,268.65,230.05,264.4,37651340
20200320,274.5,299.4,272.0,287.75,45298880
20200323,275.0,276.45,265.15,274.0,35798070
20200324,298.1,301.25,285.45,298.5,22552830
20200325,304.7,319.75,287.75,304.75,36639270
20200326,304.5,319.95,291.0,316.2,20450190
20200327,315.85,322.0,296.3,302.8,13827680
20200330,316.5,325.75,293.55,301.0,29649570
20200331,305.15,319.75,304.0,314.35,25479010
20200401,308.0,324.6,304.2,321.0,18316530
20200402,334.95,354.3,324.65,340.5,38669380
20200403,344.05,355.0,340.55,345.0,37173790
20200406,348.05,352.0,340.25,343.0,18118390
20200407,350.0,386.95,337.55,339.5,28475380
20200408,336.95,342.95,335.7,341.5,13988970
