date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200103,37.805,38.48,37.755,38.125,22601700
20200106,38.13,38.375,37.83,38.18,17361100
20200108,38.195,38.265,37.9,38.0,20096700
20200109,38.0,38.08,37.565,37.65,26257900
20200110,37.74,37.75,36.935,36.975,35103400
20200113,37.01,37.345,36.775,37.065,32293500
20200114,37.14,37.3,36.755,36.98,24453300
20200115,37.0,37.3,36.85,37.27,26422200
20200116,37.21,37.76,36.95,37.245,35866900
20200117,37.305,37.405,37.04,37.25,30160400
20200120,37.26,37.345,36.96,36.96,24284400
20200121,37.05,38.27,36.845,37.665,52953700
20200122,37.845,37.92,36.955,37.0,29057100
20200123,36.99,37.14,36.555,36.77,30488400
20200124,36.78,36.97,36.505,36.53,16455200
20200127,36.515,36.55,35.69,35.69,29780900
20200128,35.715,35.95,35.2,35.74,22799100
20200129,35.905,36.3,35.605,36.0,27892000
20200130,35.955,36.195,35.64,35.64,25407500
20200131,35.885,36.17,35.39,36.105,34529200
20200203,35.83,36.15,34.7,34.7,52448300
20200204,34.98,35.265,34.8,35.2,40478200
20200205,35.205,35.39,34.8,34.8,42588700
20200206,34.955,35.105,34.475,34.77,41878200
20200207,34.88,36.08,34.525,35.0,54052600
20200210,35.12,35.28,34.865,35.135,28315600
20200211,35.24,35.62,35.155,35.4,21485200
20200212,35.545,35.585,35.14,35.425,26645400
20200213,35.3,35.87,35.165,35.35,25027300
20200214,35.415,35.775,35.195,35.2,25319200
20200217,35.305,35.545,35.21,35.535,13183500
20200218,35.44,35.485,34.855,34.95,21528600
20200219,35.02,35.335,34.93,35.3,17939100
20200220,35.3,35.55,35.225,35.355,16321400
20200221,35.245,35.55,35.155,35.36,14983200
20200225,35.0,35.43,34.7,34.9,32324700
20200226,34.795,35.185,34.59,34.765,55414000
20200227,34.785,34.985,32.81,33.755,75593200
20200228,33.415,33.75,32.11,32.77,99235400
20200302,33.03,33.945,32.305,32.705,60905300
20200303,33.21,33.47,32.605,32.93,32341800
20200304,32.94,34.57,32.615,34.32,58752900
20200305,34.435,34.615,33.525,33.705,32413600
20200306,33.505,34.485,33.285,34.04,75609500
20200310,33.915,38.425,32.555,37.92,234771900
20200311,37.94,38.0,36.57,37.59,73686200
20200312,37.615,38.89,36.345,37.065,148838900
20200313,37.1,37.45,35.55,35.73,75382700
20200316,35.65,36.8,35.08,36.0,64443200
20200317,36.005,37.1,35.61,36.9,57491200
20200318,37.06,37.6,36.07,36.1,76249200
20200319,36.265,36.94,35.785,36.525,65653200
20200320,36.52,36.6,35.39,35.71,77272900
20200323,35.71,36.4,35.01,35.02,45022100
20200324,35.125,35.62,34.35,35.2,63886600
20200325,35.355,36.625,34.61,35.4,69236800
20200326,35.38,37.3,35.16,35.895,68836800
20200327,36.065,36.5,35.375,35.405,57445100
20200330,35.515,37.0,35.41,37.0,42327300
20200331,37.025,38.0,36.905,37.6,85672500
20200401,37.575,38.49,37.405,37.8,53926400
20200402,37.85,38.92,37.835,38.9,47227600
20200403,38.83,39.235,38.3,38.6,46549300
