date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020-01-03,0.352,0.358,0.35,0.355,327000
2020-01-06,0.353,0.3545,0.3505,0.3525,240000
2020-01-08,0.351,0.3525,0.351,0.3525,180000
2020-01-09,0.3555,0.359,0.3515,0.356,137000
2020-01-10,0.353,0.362,0.351,0.3545,1456000
2020-01-13,0.3515,0.359,0.351,0.359,476000
2020-01-14,0.359,0.374,0.3545,0.3575,562000
2020-01-15,0.358,0.364,0.358,0.3615,62000
2020-01-16,0.3585,0.3635,0.356,0.362,415000
2020-01-17,0.3595,0.3685,0.3555,0.3665,263000
2020-01-20,0.3605,0.378,0.3605,0.369,197000
2020-01-21,0.374,0.374,0.3605,0.3705,109000
2020-01-22,0.365,0.3715,0.365,0.369,27000
2020-01-23,0.3725,0.39,0.35,0.369,539000
2020-01-24,0.3725,0.375,0.359,0.3595,88000
2020-01-27,0.3645,0.37,0.351,0.364,344000
2020-01-28,0.363,0.3825,0.363,0.3825,345000
2020-01-29,0.3845,0.398,0.373,0.389,695000
2020-01-30,0.393,0.397,0.3805,0.3815,136000
2020-01-31,0.3855,0.386,0.3735,0.385,125000
2020-02-03,0.387,0.395,0.374,0.386,623000
2020-02-04,0.387,0.3945,0.378,0.3795,232000
2020-02-05,0.3825,0.3965,0.37,0.375,343000
2020-02-06,0.378,0.3825,0.3685,0.373,316000
2020-02-07,0.3775,0.3775,0.3715,0.3735,23000
2020-02-10,0.3755,0.386,0.3695,0.386,217000
2020-02-11,0.386,0.3865,0.3785,0.3855,69000
2020-02-12,0.378,0.3855,0.365,0.3795,308000
2020-02-13,0.382,0.3825,0.364,0.372,248000
2020-02-14,0.3735,0.3765,0.372,0.374,32000
2020-02-17,0.3725,0.3995,0.369,0.3855,585000
2020-02-18,0.3855,0.391,0.383,0.3885,327000
2020-02-19,0.3835,0.3955,0.38,0.3955,79000
2020-02-20,0.3905,0.3985,0.388,0.3945,477000
2020-02-21,0.398,0.418,0.392,0.404,1239000
2020-02-25,0.408,0.408,0.3615,0.397,463000
