date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2020-09-24,97.5,97.5,97.5,97.5,0.0,0,0
2020-09-25,97.5,97.5,97.5,97.5,0.0,0,0
2020-09-28,97.5,97.5,97.5,97.5,0.0,0,0
2020-09-29,97.5,97.5,97.5,97.5,0.0,0,0
2020-09-30,97.5,97.5,97.5,97.5,0.0,0,0
2020-10-01,97.5,97.5,96.512,96.512,0.0,0,0
2020-10-02,97.5,97.5,97.5,97.5,0.0,0,0
2020-10-05,97.5,97.5,97.5,97.5,0.0,0,0
2020-10-06,97.5,97.5,97.5,97.5,0.0,0,0
2020-10-07,97.5,97.5,96.516,96.516,0.0,0,0
2020-10-08,97.5,97.5,97.001,97.499,0.0,0,0
2020-10-09,97.5,97.5,97.5,97.5,0.0,0,0
2020-10-12,97.5,97.5,97.5,97.5,0.0,0,0
2020-10-20,97.5,97.5,97.5,97.5,0.0,0,0
2020-10-21,97.5,97.5,96.301,96.34,0.0,0,0
2020-10-22,97.5,97.5,96.346,96.6,0.0,0,0
2020-10-23,96.6,96.6,96.34,96.4,0.0,0,0
2020-10-26,96.599,96.599,96.312,96.312,0.0,0,0
2020-10-27,96.55,96.55,96.301,96.4,0.0,0,0
2020-10-28,96.301,96.45,96.281,96.281,0.0,0,0
2020-10-29,96.428,96.429,96.428,96.429,0.0,0,0
2020-10-30,96.398,96.449,96.281,96.449,0.0,0,0
2020-11-02,96.498,96.498,96.271,96.271,0.0,0,0
2020-11-03,96.4,96.4,96.25,96.25,0.0,0,0
2020-11-05,96.499,96.501,96.479,96.5,0.0,0,0
2020-11-06,96.51,96.55,96.51,96.55,0.0,0,0
2020-11-09,96.41,96.64,96.41,96.55,0.0,0,0
2020-11-10,96.63,96.949,96.599,96.81,0.0,0,0
2020-11-11,96.899,96.899,96.899,96.899,0.0,0,0
2020-11-12,96.93,96.93,96.8,96.929,0.0,0,0
2020-11-13,96.929,96.929,96.929,96.929,0.0,0,0
2020-11-16,96.81,96.81,96.81,96.81,0.0,0,0
2020-11-19,97.25,97.25,96.999,96.999,0.0,0,0
2020-11-20,97.079,97.08,97.079,97.08,0.0,0,0
2020-11-23,97.129,97.13,97.129,97.13,0.0,0,0
2020-11-24,97.229,97.229,97.229,97.229,0.0,0,0
2020-11-25,97.051,97.051,97.001,97.001,0.0,0,0
2020-11-26,97.169,97.169,97.001,97.001,0.0,0,0
2020-11-27,97.169,97.169,97.169,97.169,0.0,0,0
2020-11-30,97.169,97.169,97.169,97.169,0.0,0,0
2020-12-01,97.169,97.17,97.001,97.17,0.0,0,0
2020-12-03,97.219,97.219,97.219,97.219,0.0,0,0
2020-12-04,97.35,97.35,97.19,97.19,0.0,0,0
2020-12-07,97.35,97.47,97.29,97.37,0.0,0,0
2020-12-08,97.36,97.449,97.36,97.449,0.0,0,0
2020-12-09,97.391,97.391,97.391,97.391,0.0,0,0
2020-12-10,97.39,97.499,97.39,97.49,0.0,0,0
2020-12-11,97.449,97.449,97.301,97.301,0.0,0,0
2020-12-14,97.49,97.549,97.351,97.351,0.0,0,0
