date,price,open,max,min,volume,change
2023-12-29,77.04,77.38,77.98,76.73,192.95,-1.72
2023-12-28,78.39,79.8,79.95,78.25,18.78,-1.58
2023-12-27,79.65,80.79,81.33,79.29,70.39,-1.75
2023-12-26,81.07,79.04,81.72,78.76,59.74,2.53
2023-12-22,79.07,79.35,80.37,78.88,119.19,-0.4
2023-12-21,79.39,79.0,80.13,77.81,193.32,-0.39
2023-12-20,79.7,79.17,80.6,79.07,241.81,0.59
2023-12-19,79.23,78.06,79.67,77.41,214.68,1.64
2023-12-18,77.95,76.8,79.51,75.76,279.47,1.83
2023-12-15,76.55,76.66,77.23,75.29,223.09,-0.08
2023-12-14,76.61,74.76,77.35,74.44,257.52,3.16
2023-12-13,74.26,73.26,74.7,72.29,260.18,1.39
2023-12-12,73.24,76.17,76.66,72.86,310.09,-3.67
2023-12-11,76.03,75.73,76.5,75.01,212.76,0.25
2023-12-08,75.84,74.59,76.36,74.2,228.45,2.42
2023-12-07,74.05,74.5,75.48,73.6,297.94,-0.34
2023-12-06,74.3,77.12,77.65,74.11,385.4,-3.76
2023-12-05,77.2,78.1,79.09,77.0,352.89,-1.06
2023-12-04,78.03,79.5,79.72,77.52,388.38,-1.08
2023-12-01,78.88,80.67,81.54,78.75,350.25,-4.77
2023-11-30,82.83,82.78,84.75,82.58,15.08,-0.32
2023-11-29,83.1,81.91,83.25,80.96,98.24,1.74
2023-11-28,81.68,80.19,82.16,79.8,112.5,2.13
2023-11-27,79.98,80.4,81.17,79.13,157.36,-0.74
2023-11-24,80.58,81.4,82.2,80.13,114.14,-1.03
2023-11-23,81.42,81.6,81.63,80.19,108.32,-0.66
2023-11-22,81.96,82.47,82.65,78.41,367.18,-0.59
2023-11-21,82.45,82.13,82.54,81.43,238.51,0.16
2023-11-20,82.32,80.3,82.94,79.58,248.33,2.12
2023-11-17,80.61,77.55,80.81,77.28,340.03,4.12
2023-11-16,77.42,80.98,81.17,76.6,441.64,-4.63
2023-11-15,81.18,82.39,83.04,80.79,299.42,-1.56
2023-11-14,82.47,82.71,83.97,82.06,248.94,-0.06
2023-11-13,82.52,81.43,82.84,80.41,243.3,1.34
2023-11-10,81.43,79.85,82.06,79.79,249.55,1.77
2023-11-09,80.01,79.7,81.48,79.44,306.11,0.59
2023-11-08,79.54,81.4,81.96,79.2,420.7,-2.54
2023-11-07,81.61,85.15,85.19,81.4,402.76,-4.19
2023-11-06,85.18,85.55,86.46,84.88,239.23,0.34
2023-11-03,84.89,86.92,87.8,84.56,354.85,-2.26
2023-11-02,86.85,85.0,87.05,84.64,301.87,2.62
2023-11-01,84.63,85.45,87.24,84.58,321.66,-3.18
2023-10-31,87.41,87.9,88.61,87.4,13.68,-0.05
2023-10-30,87.45,90.07,90.15,87.2,99.04,-3.35
2023-10-27,90.48,88.4,90.75,87.83,109.14,2.9
2023-10-26,87.93,89.92,90.4,87.53,198.64,-2.44
2023-10-25,90.13,88.04,90.35,86.68,290.91,2.34
2023-10-24,88.07,90.47,90.68,87.35,304.12,-1.96
2023-10-23,89.83,92.11,92.45,89.62,282.44,-2.53
2023-10-20,92.16,93.23,93.79,91.66,272.72,-0.24
2023-10-19,92.38,91.35,93.48,89.57,309.0,0.96
2023-10-18,91.5,91.25,93.0,90.6,348.19,1.78
2023-10-17,89.9,89.91,91.0,88.88,252.83,0.28
2023-10-16,89.65,90.98,91.39,89.5,283.25,-1.36
2023-10-13,90.89,86.35,91.0,86.28,424.71,5.69
2023-10-12,86.0,85.53,87.64,85.18,370.44,0.21
2023-10-11,85.82,87.72,88.26,85.21,402.31,-2.09
2023-10-10,87.65,88.17,88.49,86.91,352.11,-0.57
2023-10-09,88.15,86.45,89.0,86.0,412.76,4.22
2023-10-06,84.58,84.49,84.95,83.44,424.46,0.61
2023-10-05,84.07,85.88,86.52,83.84,510.68,-2.03
2023-10-04,85.81,91.04,91.21,85.75,525.56,-5.62
2023-10-03,90.92,90.4,91.56,89.5,437.64,0.23
2023-10-02,90.71,92.18,93.33,90.35,423.48,-4.83
2023-09-29,95.31,95.07,96.26,94.9,12.84,-0.07
2023-09-28,95.38,96.74,97.69,94.76,91.45,-1.21
2023-09-27,96.55,94.12,97.06,94.1,146.72,2.76
2023-09-26,93.96,93.28,94.21,91.8,169.45,0.72
2023-09-25,93.29,93.75,94.25,92.54,177.62,0.02
2023-09-22,93.27,93.37,94.64,92.8,240.04,-0.03
2023-09-21,93.3,93.08,94.6,92.2,314.69,-0.25
2023-09-20,93.53,94.49,94.72,92.76,330.59,-0.86
2023-09-19,94.34,94.66,95.96,94.16,403.4,-0.1
2023-09-18,94.43,94.28,94.95,93.79,337.78,0.53
2023-09-15,93.93,94.02,94.63,92.67,316.9,0.25
2023-09-14,93.7,92.04,94.21,92.02,310.0,1.98
2023-09-13,91.88,92.04,92.84,91.63,302.75,-0.2
2023-09-12,92.06,90.62,92.4,90.52,336.57,1.57
2023-09-11,90.64,90.83,91.45,90.11,303.42,-0.01
2023-09-08,90.65,89.79,91.02,89.3,298.14,0.81
2023-09-07,89.92,90.81,90.89,89.46,213.02,-0.75
2023-09-06,90.6,90.12,91.1,89.25,282.91,0.62
2023-09-05,90.04,88.91,91.15,88.06,428.45,1.17
2023-09-04,89.0,88.95,89.22,88.26,140.67,0.51
2023-09-01,88.55,86.82,88.99,86.74,380.76,1.95
2023-08-31,86.86,86.0,86.94,85.74,11.27,1.16
2023-08-30,85.86,85.62,86.23,85.11,86.74,0.43
2023-08-29,85.49,84.39,85.65,83.8,115.36,1.27
2023-08-28,84.42,84.87,85.23,84.11,88.35,-0.07
2023-08-25,84.48,83.26,84.97,82.67,230.35,1.34
2023-08-24,83.36,82.95,83.62,81.97,253.84,0.18
2023-08-23,83.21,83.99,84.26,81.94,361.61,-0.98
2023-08-22,84.03,84.46,84.66,83.85,287.35,-0.51
2023-08-21,84.46,84.8,85.86,84.31,289.24,-0.4
2023-08-18,84.8,83.88,85.08,83.33,287.97,0.81
2023-08-17,84.12,83.2,84.88,83.05,305.58,0.8
2023-08-16,83.45,85.2,85.36,83.13,334.45,-1.7
2023-08-15,84.89,86.12,86.68,84.29,305.41,-1.53
2023-08-14,86.21,86.53,86.71,85.5,267.09,-0.69
2023-08-11,86.81,86.37,87.35,85.84,318.06,0.47
2023-08-10,86.4,87.39,88.1,86.2,337.57,-1.31
2023-08-09,87.55,86.0,87.65,85.91,388.3,1.6
2023-08-08,86.17,85.79,86.34,83.32,375.87,0.97
2023-08-07,85.34,86.23,86.73,85.03,259.62,-1.04
2023-08-04,86.24,85.31,86.65,85.06,268.75,1.29
2023-08-03,85.14,83.46,85.41,82.36,392.61,2.33
2023-08-02,83.2,85.86,85.99,82.74,399.19,-2.01
2023-08-01,84.91,85.24,85.91,84.21,297.77,-0.76
2023-07-31,85.56,84.95,85.8,84.4,16.53,0.67
2023-07-28,84.99,83.71,85.09,83.22,102.84,0.89
2023-07-27,84.24,82.93,84.5,82.93,110.65,1.59
2023-07-26,82.92,83.19,83.85,82.58,173.82,-0.86
2023-07-25,83.64,82.85,83.87,82.22,234.66,1.09
2023-07-24,82.74,80.95,83.16,80.42,295.1,2.06
2023-07-21,81.07,79.78,81.24,79.65,294.35,1.8
2023-07-20,79.64,79.33,80.27,78.66,236.41,0.23
2023-07-19,79.46,79.84,80.93,79.17,311.44,-0.21
2023-07-18,79.63,78.52,79.99,78.19,366.47,1.44
2023-07-17,78.5,79.36,80.64,78.25,341.16,-1.72
2023-07-14,79.87,81.64,81.7,79.53,311.23,-1.83
2023-07-13,81.36,80.19,81.75,79.88,416.12,1.56
2023-07-12,80.11,79.32,80.55,79.21,362.33,0.89
2023-07-11,79.4,77.82,79.5,77.63,333.84,2.2
2023-07-10,77.69,78.6,78.77,77.36,288.4,-0.99
2023-07-07,78.47,76.52,78.54,76.03,331.53,2.55
2023-07-06,76.52,76.7,77.09,75.03,0.43,-0.17
2023-07-05,76.65,76.03,76.95,75.3,293.74,0.52
2023-07-04,76.25,74.89,76.29,74.74,157.96,2.14
2023-07-03,74.65,75.11,76.6,74.56,328.0,-0.33
2023-06-30,74.9,74.22,75.4,74.21,14.7,0.75
2023-06-29,74.34,73.72,74.98,73.39,72.87,0.42
2023-06-28,74.03,72.62,74.2,71.57,91.45,2.45
2023-06-27,72.26,74.28,74.9,72.08,161.15,-2.59
2023-06-26,74.18,74.5,74.85,73.42,150.17,0.45
2023-06-23,73.85,74.02,74.44,72.11,169.54,-0.39
2023-06-22,74.14,77.03,77.2,73.59,329.53,-3.86
2023-06-21,77.12,75.54,77.24,75.52,236.55,1.61
2023-06-20,75.9,76.12,77.15,74.51,276.38,-0.25
2023-06-19,76.09,76.4,76.93,75.34,141.42,-0.68
