date,CLOSE,OPEN,HIGH,LOW
2020-01-03,3076.37,3059.2,3086.09,3057.36
2020-01-06,3078.87,3075.55,3079.42,3059.47
2020-01-08,3110.06,3076.63,3112.01,3071.88
2020-01-09,3118.08,3105.21,3124.6,3094.85
2020-01-10,3123.66,3117.24,3130.92,3101.21
2020-01-13,3151.69,3124.96,3151.69,3117.03
2020-01-14,3129.77,3155.63,3166.07,3126.0
2020-01-15,3132.63,3128.38,3148.29,3106.41
2020-01-16,3157.23,3137.52,3163.2,3137.52
2020-01-17,3196.88,3161.25,3198.32,3159.23
2020-01-20,3219.92,3205.64,3226.89,3204.32
2020-01-21,3209.22,3212.72,3213.38,3185.65
2020-01-22,3174.62,3212.91,3222.93,3174.62
2020-01-23,3141.2,3162.68,3170.41,3135.15
2020-01-24,3146.2,3147.28,3165.86,3134.7
2020-01-27,3085.16,3123.71,3123.71,3076.68
2020-01-28,3113.1,3097.71,3115.62,3068.67
2020-01-29,3128.8,3125.91,3140.77,3115.64
2020-01-30,3108.58,3108.38,3121.54,3096.31
2020-01-31,3076.65,3133.4,3143.29,3076.65
2020-02-03,3070.84,3062.27,3085.89,3058.48
2020-02-04,3097.6,3082.2,3105.98,3071.79
2020-02-05,3114.25,3105.52,3137.97,3083.26
2020-02-06,3096.68,3132.84,3145.15,3086.91
2020-02-07,3087.63,3101.08,3108.28,3056.85
2020-02-10,3062.41,3088.63,3092.93,3049.33
2020-02-11,3097.58,3072.39,3109.22,3069.9
2020-02-12,3122.27,3103.81,3122.27,3095.7
2020-02-13,3110.05,3116.99,3122.19,3096.98
2020-02-14,3096.88,3113.72,3120.89,3084.57
2020-02-17,3110.06,3097.18,3110.06,3092.45
2020-02-18,3074.05,3103.71,3104.42,3064.15
2020-02-19,3114.57,3089.09,3117.84,3086.41
2020-02-20,3125.1,3120.51,3139.59,3117.5
2020-02-21,3106.03,3109.86,3129.24,3098.76
2020-02-25,3002.68,3058.33,3073.27,3002.68
2020-02-26,3017.42,2994.22,3026.26,2958.46
2020-02-27,2915.84,2989.18,3002.2,2910.46
2020-02-28,2785.08,2850.11,2855.32,2744.18
2020-03-02,2765.77,2829.47,2875.3,2714.36
2020-03-03,2821.37,2817.58,2844.04,2789.76
2020-03-04,2828.01,2799.18,2841.13,2779.85
2020-03-05,2816.7,2852.42,2861.6,2800.43
2020-03-06,2719.51,2773.53,2782.77,2680.06
2020-03-10,2498.94,2502.7,2661.63,2435.62
2020-03-11,2492.88,2532.72,2555.43,2457.36
2020-03-12,2286.4,2413.02,2413.02,2277.58
2020-03-13,2316.38,2277.66,2418.15,2275.16
2020-03-16,2266.9,2297.04,2301.19,2179.12
2020-03-17,2224.74,2263.62,2313.34,2172.46
2020-03-18,2112.64,2192.79,2205.41,2097.84
2020-03-19,2275.7,2134.43,2288.09,2073.87
2020-03-20,2331.61,2327.27,2418.74,2314.75
2020-03-23,2253.35,2257.88,2321.76,2213.49
2020-03-24,2415.97,2349.47,2435.27,2341.21
2020-03-25,2452.69,2459.3,2518.38,2372.34
2020-03-26,2489.97,2448.76,2514.92,2403.6
2020-03-27,2401.11,2491.7,2498.33,2378.88
2020-03-30,2433.35,2377.21,2435.53,2357.53
2020-03-31,2508.81,2466.28,2526.13,2459.19
2020-04-01,2473.61,2465.56,2491.66,2449.01
2020-04-02,2545.95,2528.72,2562.54,2470.85
2020-04-03,2572.23,2547.15,2609.16,2533.06
2020-04-06,2622.59,2597.28,2639.56,2576.28
2020-04-07,2634.74,2648.74,2688.67,2612.96
2020-04-08,2670.12,2617.66,2670.12,2603.99
2020-04-09,2701.77,2693.58,2713.5,2643.98
2020-04-10,2677.86,2678.3,2680.89,2656.45
2020-04-13,2628.85,2675.73,2677.9,2610.61
2020-04-14,2631.83,2649.34,2667.58,2619.91
2020-04-15,2498.94,2617.19,2617.19,2489.99
2020-04-16,2515.05,2511.55,2550.84,2468.65
2020-04-17,2534.97,2550.95,2556.42,2516.87
2020-04-20,2525.97,2524.31,2546.14,2502.38
2020-04-21,2488.02,2487.63,2500.18,2431.98
2020-04-22,2573.41,2474.32,2584.68,2471.23
2020-04-23,2599.41,2600.28,2620.24,2558.32
2020-04-24,2562.03,2588.29,2596.97,2551.66
2020-04-27,2570.91,2570.69,2597.64,2557.81
2020-04-28,2612.24,2567.74,2644.79,2566.92
2020-04-29,2663.14,2629.24,2669.47,2617.34
2020-04-30,2650.56,2683.86,2700.97,2629.57
2020-05-04,2624.64,2623.89,2641.03,2599.74
2020-05-05,2653.51,2652.92,2666.38,2634.49
2020-05-06,2632.1,2659.08,2674.94,2626.68
