date,CLOSE,OPEN,HIGH,LOW
2020-01-03,1564.18,1554.72,1567.86,1553.8
2020-01-06,1568.35,1560.36,1568.35,1549.52
2020-01-08,1589.08,1567.72,1590.21,1563.18
2020-01-09,1601.74,1597.24,1607.28,1590.77
2020-01-10,1614.69,1602.4,1614.69,1594.01
2020-01-13,1619.73,1612.38,1620.17,1608.53
2020-01-14,1604.96,1622.41,1625.61,1602.03
2020-01-15,1602.29,1604.03,1615.64,1588.73
2020-01-16,1612.72,1608.93,1618.1,1608.64
2020-01-17,1637.75,1615.15,1641.82,1614.9
2020-01-20,1646.6,1640.5,1651.82,1640.39
2020-01-21,1634.32,1644.18,1644.18,1622.58
2020-01-22,1612.87,1635.64,1643.19,1612.87
2020-01-23,1596.11,1611.12,1614.98,1593.81
2020-01-24,1599.82,1601.66,1614.68,1597.16
2020-01-27,1541.9,1584.97,1584.97,1541.9
2020-01-28,1572.23,1549.47,1572.73,1531.6
2020-01-29,1570.65,1581.07,1584.26,1563.89
2020-01-30,1544.55,1565.6,1565.78,1544.55
2020-01-31,1517.07,1559.98,1568.82,1517.07
2020-02-03,1521.16,1509.2,1530.86,1507.3
2020-02-04,1547.19,1523.91,1550.22,1523.84
2020-02-05,1560.48,1550.18,1579.6,1538.23
2020-02-06,1539.42,1569.33,1579.09,1533.83
2020-02-07,1518.23,1542.11,1547.97,1506.25
2020-02-10,1503.95,1517.68,1530.04,1495.2
2020-02-11,1539.56,1509.16,1548.27,1509.16
2020-02-12,1557.44,1542.81,1557.93,1541.14
2020-02-13,1543.5,1553.32,1554.2,1530.79
2020-02-14,1534.89,1541.28,1550.12,1528.22
2020-02-17,1543.25,1535.16,1546.87,1535.16
2020-02-18,1515.54,1540.6,1540.95,1510.82
2020-02-19,1542.08,1525.01,1544.62,1525.01
2020-02-20,1535.81,1546.35,1552.04,1535.81
2020-02-21,1524.71,1525.88,1531.62,1515.45
2020-02-25,1446.11,1504.06,1506.85,1445.76
2020-02-26,1461.22,1442.87,1464.34,1419.26
2020-02-27,1386.2,1438.28,1444.05,1381.02
2020-02-28,1299.69,1359.93,1362.43,1279.74
2020-03-02,1303.47,1332.74,1368.63,1275.17
2020-03-03,1358.03,1336.1,1360.28,1320.51
2020-03-04,1348.19,1336.3,1364.55,1326.9
2020-03-05,1323.82,1356.0,1363.73,1319.15
2020-03-06,1257.96,1291.47,1300.61,1238.53
2020-03-10,1094.18,1149.81,1182.08,1055.31
2020-03-11,1086.18,1117.85,1130.62,1076.54
2020-03-12,966.4,1042.2,1042.2,953.64
2020-03-13,991.69,958.29,1055.49,957.19
2020-03-16,966.93,996.53,998.33,910.66
2020-03-17,934.66,955.12,985.24,909.92
2020-03-18,832.26,915.71,915.74,827.52
2020-03-19,902.63,831.46,908.75,808.79
2020-03-20,924.22,926.19,980.21,913.69
2020-03-23,883.78,889.95,916.92,860.74
