date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020-01-03,255.97,258.19,253.7,255.0,35824160
2020-01-06,254.75,254.84,251.4,253.9,22327940
2020-01-08,253.62,259.15,253.03,259.15,40736030
2020-01-09,259.41,261.76,257.01,257.99,38196300
2020-01-10,257.91,259.25,256.88,258.19,18841650
2020-01-13,258.21,262.4,257.15,262.4,25849900
2020-01-14,262.58,263.22,258.62,259.05,31097130
2020-01-15,258.45,258.91,254.21,256.31,49328500
2020-01-16,257.11,259.51,256.1,257.51,40225420
2020-01-17,258.2,262.82,257.75,262.5,44891340
2020-01-20,263.22,266.97,261.8,266.28,29749210
2020-01-21,265.47,268.9,263.02,268.06,37927820
2020-01-22,268.63,270.8,265.5,266.54,44170920
2020-01-23,264.9,266.89,262.24,263.73,40484270
2020-01-24,264.53,267.5,264.21,265.49,27246250
2020-01-27,260.99,262.1,255.32,255.32,56011660
2020-01-28,257.05,258.84,254.1,257.7,47921360
2020-01-29,258.4,261.57,257.61,259.94,34921040
2020-01-30,257.97,258.69,255.27,257.31,31552340
2020-01-31,258.5,259.2,252.17,252.2,47800190
2020-02-03,251.8,254.96,251.1,253.99,52621110
2020-02-04,255.33,257.38,252.9,255.4,49731290
2020-02-05,255.89,257.66,253.14,255.2,50719760
2020-02-06,256.66,258.0,251.86,252.11,43319020
2020-02-07,253.13,254.3,248.73,254.3,50059840
2020-02-10,254.55,255.73,252.07,252.26,34935840
2020-02-11,253.78,259.77,253.0,254.5,79392360
2020-02-12,255.4,255.49,252.31,254.5,52447350
2020-02-13,253.62,255.18,252.5,253.89,36654420
2020-02-14,254.38,254.38,251.4,251.75,29982140
2020-02-17,252.5,253.1,250.13,251.36,26370580
2020-02-18,250.08,250.44,247.57,249.2,36259430
2020-02-19,250.37,250.68,247.95,249.7,25740870
2020-02-20,250.07,252.17,249.13,250.15,30707880
2020-02-21,248.42,251.49,247.24,250.8,27682840
2020-02-25,247.98,248.83,245.17,245.19,40505070
2020-02-26,244.75,251.21,243.22,250.8,67529090
2020-02-27,247.5,248.98,242.0,242.88,57887670
2020-02-28,234.96,239.0,231.0,233.36,123187610
2020-03-02,238.55,241.0,218.86,228.17,101688550
2020-03-03,233.0,239.0,232.28,236.63,83491100
2020-03-04,234.13,236.7,232.62,235.27,54165550
2020-03-05,237.03,238.72,230.64,232.33,56972700
2020-03-06,227.99,229.2,216.67,219.99,103932680
2020-03-10,197.99,212.74,184.86,201.2,243308680
2020-03-11,202.2,204.33,192.05,194.53,137765860
2020-03-12,185.17,187.87,173.14,175.91,197162330
2020-03-13,175.0,199.52,174.3,198.6,262618120
2020-03-16,194.0,196.7,186.0,195.85,173656160
2020-03-17,194.92,204.78,183.8,184.01,183602360
2020-03-18,178.95,182.2,172.15,174.27,154736970
2020-03-19,178.5,190.15,173.06,189.51,187222370
2020-03-20,198.62,201.86,192.05,195.69,170124950
2020-03-23,188.0,190.99,182.1,183.37,157690770
2020-03-24,193.3,195.0,189.1,192.64,104281150
2020-03-25,196.37,201.0,182.32,188.08,187724830
2020-03-26,187.69,191.2,182.8,188.07,111338470
2020-03-27,188.05,188.97,180.17,180.38,114106500
2020-03-30,177.03,183.2,174.9,183.0,93995170
2020-03-31,186.0,188.77,184.25,187.21,113605840
2020-04-01,183.2,185.47,182.0,184.78,76453050
2020-04-02,188.34,189.9,182.0,186.95,125289380
2020-04-03,186.6,187.49,184.28,185.64,92726520
2020-04-06,187.52,192.02,186.42,190.7,77520920
2020-04-07,193.1,200.54,193.06,197.63,136262480
2020-04-08,196.2,200.29,195.12,200.29,89695510
2020-04-09,202.4,205.44,199.3,203.61,109748080
2020-04-10,201.85,202.75,200.7,201.99,28658630
2020-04-13,201.99,202.16,197.32,198.26,41196340
2020-04-14,199.99,202.85,196.1,197.37,80132500
2020-04-15,196.0,196.25,186.06,186.07,97979270
2020-04-16,187.22,191.67,183.53,188.5,109069050
2020-04-17,192.5,192.7,188.28,191.8,71522530
2020-04-20,190.6,192.23,187.31,189.32,62162030
2020-04-21,185.54,187.5,183.65,186.05,94053840
2020-04-22,185.05,191.94,184.5,190.2,75194080
2020-04-23,192.0,192.5,188.68,190.94,62581600
2020-04-24,189.73,191.65,187.7,188.91,55252250
2020-04-27,189.95,190.5,188.43,188.9,43627150
2020-04-28,188.55,194.22,188.17,192.8,78555750
2020-04-29,194.36,195.8,192.86,195.8,69766160
2020-04-30,196.52,199.7,195.46,197.25,87028430
2020-05-04,195.68,195.68,193.26,193.69,56239930
2020-05-05,195.54,196.46,194.0,194.75,35239920
2020-05-06,194.99,197.23,194.3,195.7,49513900
2020-05-07,196.0,198.15,195.06,195.51,57670560
2020-05-08,196.0,196.25,194.6,196.02,33775280
2020-05-12,193.3,198.0,191.2,191.4,67270320
2020-05-13,190.05,190.6,186.66,187.31,63256890
2020-05-14,186.49,188.2,183.5,183.81,76532900
2020-05-15,186.13,186.78,183.33,183.85,63033850
2020-05-18,186.06,190.0,185.4,188.93,77252650
2020-05-19,190.38,192.55,186.8,189.0,105168650
2020-05-20,188.45,193.98,186.6,193.98,93311880
2020-05-21,194.0,196.31,191.5,192.4,79390610
2020-05-22,190.97,191.25,188.6,188.9,56926660
2020-05-25,189.62,191.31,188.8,191.0,23090830
2020-05-26,192.83,196.1,192.11,194.0,79038520
2020-05-27,194.01,198.97,193.32,198.51,115900270
2020-05-28,199.33,205.0,198.4,205.0,117073600
2020-05-29,204.2,204.4,199.17,200.5,106525280
2020-06-01,203.1,205.93,201.81,203.66,65100110
2020-06-02,204.57,212.0,204.0,212.0,116798700
2020-06-03,214.0,221.92,213.51,221.5,144505760
2020-06-04,220.67,221.0,212.55,213.1,122406780
2020-06-05,215.13,219.93,213.6,219.1,88508590
2020-06-08,219.73,223.15,217.45,220.3,88612450
2020-06-09,221.19,221.88,215.44,217.23,69097350
2020-06-10,217.0,217.58,211.82,212.53,91851980
2020-06-11,208.99,209.24,206.01,208.35,69726170
2020-06-15,205.07,207.85,202.3,207.32,75360850
2020-06-16,210.3,212.19,207.52,207.76,66267920
2020-06-17,208.52,210.35,206.94,208.14,56455710
2020-06-18,207.8,208.1,202.72,203.77,72204680
2020-06-19,205.39,209.2,204.55,207.0,74923730
2020-06-22,206.7,207.95,204.28,206.4,58621480
2020-06-23,207.51,209.74,206.43,207.3,53213440
2020-06-25,200.99,207.0,200.75,206.92,70420930
2020-06-26,206.97,207.5,201.76,203.15,46627040
2020-06-29,201.09,205.86,200.97,205.8,42613600
2020-06-30,205.66,206.0,202.36,203.22,43705610
2020-07-02,205.01,210.15,204.28,209.6,76154820
2020-07-03,210.0,211.97,209.0,210.95,50602810
2020-07-06,212.94,216.79,212.94,214.61,55118170
2020-07-07,212.9,214.23,210.51,210.53,44709210
2020-07-08,210.8,212.29,209.3,210.97,41999670
2020-07-09,210.7,211.7,208.1,209.11,45129130
2020-07-10,207.5,212.6,206.57,212.28,50631590
2020-07-13,213.86,214.2,208.11,208.39,51159680
2020-07-14,208.38,209.58,205.7,209.5,65996740
2020-07-15,210.29,211.8,207.65,211.09,49443460
2020-07-16,209.7,212.6,208.63,211.35,38986190
2020-07-17,211.68,212.18,209.86,210.81,36123640
2020-07-20,210.27,214.48,209.08,213.89,44482520
2020-07-21,215.0,219.1,214.38,215.73,75241030
2020-07-22,215.98,217.65,213.56,216.71,48418830
2020-07-23,217.49,219.28,215.0,215.41,43348380
2020-07-24,214.78,217.41,197.73,215.97,53375040
2020-07-27,216.64,218.38,215.15,216.9,38282820
2020-07-28,216.82,217.42,215.25,215.53,24557890
2020-07-29,215.89,219.18,215.63,219.18,41332240
2020-07-30,218.71,218.88,215.34,218.15,51172130
2020-07-31,218.18,221.98,217.43,221.57,59643550
2020-08-03,222.27,228.36,221.3,226.72,64491510
2020-08-04,227.39,228.85,225.63,227.16,41990440
2020-08-05,228.15,229.17,224.31,226.4,54596910
2020-08-06,226.6,227.43,224.35,226.0,30150840
2020-08-07,225.05,227.6,224.46,227.28,35603190
2020-08-10,227.88,228.7,224.51,225.99,43443970
2020-08-11,226.21,234.73,226.21,232.65,81839190
2020-08-12,233.14,242.5,233.03,242.4,100956370
